ID,Text
1_1,"He said, ""This is a test.""_es"
2_1,This should work perfectly._es
3_1,Requires _es
3_2, new batteries_es
4_1,Needs a match_es
5_1,The pipes _es
5_2,under the wire mesh_es
5_3, aren't too close together; I could fit between them._es
6_1,... Rattle... rumble... screech..._es
7_1,Upgrade your cell's cupboard to increase the number of storage compartments to _es
7_2, blablabla._es
8_1,This is a simple case._es
9_1,Requires _es
9_2, new batteries_es
10_1,Needs a match_es
11_1,The pipes _es
11_2,under the wire mesh_es
11_3, aren't too close together; I could fit between them._es
12_1,... Rattle... rumble... screech..._es
13_1,Upgrade your cell's cupboard to increase the number of storage compartments to _es
13_2, blablabla._es
14_1,This is a simple case._es
